省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
云南,文科,,会计学,4,二本及预科,519,512,4,
云南,文科,,旅游管理,2,二本及预科,510,486,2,
云南,文科,,国际经济与贸易,2,二本及预科,510,501,1,1
云南,文科,,金融学,4,二本及预科,512,498,1,3
云南,文科,,法学,4,二本及预科,530,520,4,
云南,文科,,行政管理,4,二本及预科,517,496,4,
云南,理科,,会计学,4,二本及预科,463,446,4,
云南,理科,,旅游管理,2,二本及预科,445,435,2,
云南,理科,,国际经济与贸易,2,二本及预科,437,428,1,1
云南,理科,,金融学,4,二本及预科,446,424,0,4
云南,理科,,法学,4,二本及预科,469,450,4,
云南,理科,,行政管理,3,二本及预科,453,436,1,2
云南,理科,,计算机科学与技术,4,二本及预科,465,448,4,
云南,理科,,电子信息工程,2,二本及预科,448,444,2,
云南,理科,,数据科学与大数据技术,5,二本及预科,444,426,3,2
云南,理科,,电气工程及其自动化,5,二本及预科,448,437,5,
云南,理科,,机械工程,2,二本及预科,440,435,1,1
云南,理科,,生物技术,4,二本及预科,450,426,1,3
云南,理科,,眼视光学,6,二本及预科,456,423,3,3
