省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
四川,艺术文科,,美术学,4,艺术本科一批,515,510,4,
四川,文科,,汉语言文学,3,本科二批,507,505,3,
四川,文科,,新闻学,3,本科二批,499,493,3,
四川,文科,,广告学,3,本科二批,496,490,3,
四川,文科,,英语,5,本科二批,499,459,5,
四川,文科,,翻译,5,本科二批,496,483,5,
四川,文科,,会计学,5,本科二批,502,498,5,
四川,文科,,旅游管理,2,本科二批,488,472,2,
四川,文科,,工商管理,2,本科二批,496,481,1,1
四川,文科,,金融学,3,本科二批,498,475,3,
四川,文科,,法学,5,本科二批,505,501,5,
四川,理科,,会计学,5,本科二批,487,481,5,
四川,理科,,旅游管理,2,本科二批,477,477,2,
四川,理科,,金融学,3,本科二批,488,482,3,
四川,理科,,法学,2,本科二批,495,488,2,
四川,理科,,计算机科学与技术,5,本科二批,487,477,5,
四川,理科,,通信工程,3,本科二批,490,479,3,
四川,理科,,数据科学与大数据技术,5,本科二批,485,477,5,
四川,理科,,能源与动力工程,2,本科二批,484,484,2,
四川,理科,,电气工程及其自动化,4,本科二批,484,481,4,
四川,理科,,机械工程,4,本科二批,496,476,3,1
四川,理科,,生物技术,2,本科二批,485,484,2,
四川,理科,,环境工程,2,本科二批,482,480,2,
四川,理科,,眼视光学,2,本科二批,489,487,2,
