省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
安徽,艺术类,不提科目要求,环境设计,2,艺术二批(B段),487,485,2,
安徽,艺术类,不提科目要求,视觉传达设计,2,艺术二批(B段),517,493,2,
安徽,艺术类,不提科目要求,美术学,4,艺术二批(B段),491,485,4,
安徽,艺术类,不提科目要求,动画,2,艺术二批(B段),488,487,2,
安徽,艺术类,不提科目要求,音乐教育,4,艺术二批(B段),493,462,4,
安徽,艺术类,不提科目要求,音乐学,4,艺术二批(B段),475,462,4,
安徽,历史类,历史+不限,金融学,2,本科批次,485,484,2,
安徽,历史类,历史+不限,新闻学,5,本科批次,520,484,3,2
安徽,历史类,历史+不限,汉语言文学,4,本科批次,496,489,4,
安徽,历史类,历史+不限,翻译,5,本科批次,490,484,5,
安徽,历史类,历史+不限,旅游管理,2,本科批次,484,484,2,
安徽,历史类,历史+不限,工商管理,2,本科批次,492,485,2,
安徽,历史类,历史+不限,英语,4,本科批次,487,485,4,
安徽,物理类,物理+不限,金融学,3,本科批次,566,488,3,
安徽,物理类,物理+不限,英语,5,本科批次,530,490,5,
安徽,物理类,物理+不限,翻译,5,本科批次,490,488,5,
安徽,物理类,物理+不限,旅游管理,2,本科批次,489,488,2,
安徽,物理类,物理+不限,工商管理,2,本科批次,487,487,2,
安徽,物理类,物理+不限,汉语言文学,2,本科批次,553,501,2,
安徽,物理类,物理+不限,新闻学,2,本科批次,507,498,1,1
安徽,物理类,物理+化学,眼视光学,5,本科批次,488,487,3,2
安徽,物理类,物理+化学,通信工程,4,本科批次,502,487,4,
安徽,物理类,物理+化学,物联网工程,5,本科批次,490,487,5,
安徽,物理类,物理+化学,电气工程及其自动化,5,本科批次,495,491,5,
安徽,物理类,物理+化学,计算机科学与技术,4,本科批次,597,493,4,
