省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
广西,物理类,物理+不限,金融学,5,本科普通批,401,389,5,
广西,物理类,物理+不限,国际经济与贸易,5,本科普通批,418,374,4,1
广西,物理类,物理+不限,法学,2,本科普通批,432,413,2,
广西,物理类,物理+不限,汉语言文学,1,本科普通批,414,414,1,
广西,物理类,物理+不限,新闻学,2,本科普通批,408,400,1,1
广西,物理类,物理+不限,广告学,2,本科普通批,408,407,0,2
广西,物理类,物理+不限,工商管理,4,本科普通批,442,402,0,4
广西,物理类,物理+不限,会计学,4,本科普通批,407,394,4,
广西,物理类,物理+不限,行政管理,3,本科普通批,401,400,2,1
广西,物理类,物理+不限,旅游管理,2,本科普通批,408,373,1,1
广西,物理类,物理+化学,机械工程,7,本科普通批,413,376,1,6
广西,物理类,物理+化学,生物技术,6,本科普通批,414,392,0,6
广西,物理类,物理+化学,能源与动力工程,4,本科普通批,572,390,2,2
广西,物理类,物理+化学,电气工程及其自动化,4,本科普通批,550,410,0,4
广西,物理类,物理+化学,电子信息工程,4,本科普通批,471,391,1,3
广西,物理类,物理+化学,通信工程,2,本科普通批,389,387,0,2
广西,物理类,物理+化学,计算机科学与技术,4,本科普通批,425,383,1,3
广西,物理类,物理+化学,物联网工程,4,本科普通批,393,380,0,4
广西,物理类,物理+化学,数据科学与大数据技术,5,本科普通批,392,381,0,5
广西,物理类,物理+化学,环境工程,5,本科普通批,423,377,0,5
广西,历史类,历史+不限,眼视光学,4,本科普通批,420,385,1,3
广西,历史类,历史+不限,金融学,5,本科普通批,454,420,5,
广西,历史类,历史+不限,国际经济与贸易,5,本科普通批,436,404,2,3
广西,历史类,历史+不限,法学,2,本科普通批,444,443,2,
广西,历史类,历史+不限,汉语言文学,2,本科普通批,457,443,2,
广西,历史类,历史+不限,新闻学,3,本科普通批,440,431,3,
广西,历史类,历史+不限,广告学,3,本科普通批,439,406,3,
广西,历史类,历史+不限,工商管理,4,本科普通批,432,405,2,2
广西,历史类,历史+不限,会计学,2,本科普通批,441,413,1,1
广西,历史类,历史+不限,行政管理,3,本科普通批,433,406,3,
广西,历史类,历史+不限,旅游管理,2,本科普通批,410,401,2,
