省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
江苏,历史类,历史+不限,汉语言文学,32,本科批次,526,511,32,
江苏,历史类,历史+不限,新闻学,10,本科批次,509,507,10,
江苏,历史类,历史+不限,广告学,13,本科批次,510,504,13,
江苏,历史类,历史+不限,法语,30,本科批次,509,504,30,
江苏,历史类,历史+不限,日语,30,本科批次,507,504,30,
江苏,历史类,历史+不限,英语,27,本科批次,512,505,27,
江苏,历史类,历史+不限,翻译,11,本科批次,506,504,11,
江苏,历史类,历史+不限,会计学,18,本科批次,516,508,18,
江苏,历史类,历史+不限,旅游管理,7,本科批次,508,505,7,
江苏,历史类,历史+不限,工商管理,7,本科批次,508,505,7,
江苏,历史类,历史+不限,国际经济与贸易,22,本科批次,508,504,22,
江苏,历史类,历史+不限,金融学,24,本科批次,509,504,24,
江苏,历史类,历史+不限,法学,21,本科批次,533,509,21,
江苏,历史类,历史+不限,行政管理,11,本科批次,507,505,11,
江苏,历史类,历史+不限,广播电视编导,30,本科批次,512,490,30,
江苏,物理类,物理+不限,汉语言文学,15,本科批次,510,503,15,
江苏,物理类,物理+不限,新闻学,7,本科批次,503,499,7,
江苏,物理类,物理+不限,广告学,11,本科批次,501,499,11,
江苏,物理类,物理+不限,法语,20,本科批次,504,499,20,
江苏,物理类,物理+不限,日语,20,本科批次,502,499,20,
江苏,物理类,物理+不限,英语,18,本科批次,511,500,18,
江苏,物理类,物理+不限,翻译,8,本科批次,506,499,7,1
江苏,物理类,物理+不限,会计学,11,本科批次,510,503,11,
江苏,物理类,物理+不限,旅游管理,5,本科批次,502,499,5,
江苏,物理类,物理+不限,工商管理,4,本科批次,502,502,4,
江苏,物理类,物理+不限,国际经济与贸易,12,本科批次,505,500,12,
江苏,物理类,物理+不限,金融学,25,本科批次,507,499,25,
江苏,物理类,物理+不限,法学,18,本科批次,572,505,18,
江苏,物理类,物理+不限,行政管理,8,本科批次,503,500,8,
江苏,物理类,物理+不限,广播电视编导,36,本科批次,511,490,36,
江苏,物理类,物理+化学,计算机科学与技术,62,本科批次,503,479,62,
江苏,物理类,物理+化学,电子信息工程,39,本科批次,503,473,39,
江苏,物理类,物理+化学,通信工程,36,本科批次,494,470,36,
江苏,物理类,物理+化学,物联网工程,37,本科批次,527,469,37,
江苏,物理类,物理+化学,数据科学与大数据技术,63,本科批次,502,467,63,
江苏,物理类,物理+化学,能源与动力工程,38,本科批次,491,466,38,
江苏,物理类,物理+化学,电气工程及其自动化,57,本科批次,506,473,57,
江苏,物理类,物理+化学,机械工程,63,本科批次,487,464,64,
江苏,物理类,物理+化学,生物技术,62,本科批次,489,464,61,
江苏,物理类,物理+化学,环境工程,44,本科批次,491,467,44,
江苏,物理类,物理+化学,眼视光学,56,本科批次,509,473,56,
江苏,艺术,历史+不限,播音与主持艺术,33,艺术本科2小批,501,478,33,
江苏,艺术,物理+不限,播音与主持艺术,2,艺术本科2小批,519,518,2,
江苏,艺术,历史+不限,美术学,30,艺术本科2小批,485,474,30,
江苏,艺术,历史+不限,视觉传达设计,32,艺术本科2小批,492,473,32,
江苏,艺术,历史+不限,环境设计,62,艺术本科2小批,477,470,62,
江苏,艺术,历史+不限,动画,32,艺术本科2小批,488,470,31,1
江苏,艺术,物理+不限,美术学,2,艺术本科2小批,488,481,2,
江苏,艺术,物理+不限,视觉传达设计,2,艺术本科2小批,490,486,2,
江苏,艺术,物理+不限,环境设计,2,艺术本科2小批,485,483,2,
江苏,艺术,物理+不限,动画,2,艺术本科2小批,480,480,2,
江苏,艺术,历史+不限,音乐学(器乐),29,艺术本科2小批,451,440,29,
江苏,艺术,历史+不限,音乐教育(器乐),25,艺术本科2小批,469,442,25,
江苏,艺术,物理+不限,音乐学(器乐),2,艺术本科2小批,448,439,2,
江苏,艺术,物理+不限,音乐教育(器乐),2,艺术本科2小批,440,439,2,
江苏,艺术,历史+不限,音乐学(声乐),15,艺术本科2小批,439,422,15,
江苏,艺术,历史+不限,音乐教育(声乐),14,艺术本科2小批,442,423,14,
江苏,艺术,物理+不限,音乐学(声乐),2,艺术本科2小批,426,423,2,
江苏,艺术,物理+不限,音乐教育(声乐),2,艺术本科2小批,440,430,2,
江苏,体育,历史+不限,社会体育指导与管理,40,体育本科,484,478,40,
江苏,体育,物理+不限,社会体育指导与管理,2,体育本科,506,506,2,
