省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
江西,艺术类,不提科目要求,美术学,4,本科批次,552,489,4,
江西,艺术类,不提科目要求,视觉传达设计,2,本科批次,497,496,2,
江西,艺术类,不提科目要求,环境设计,2,本科批次,490,489,2,
江西,艺术类,不提科目要求,动画,2,本科批次,573,489,2,
江西,历史类,历史+不限,汉语言文学,2,本科批次,529,514,2,
江西,历史类,历史+不限,新闻学,2,本科批次,509,505,2,
江西,历史类,历史+不限,广告学,2,本科批次,507,504,2,
江西,历史类,历史+不限,英语,5,本科批次,509,502,5,
江西,历史类,历史+不限,翻译,4,本科批次,505,502,4,
江西,历史类,历史+不限,旅游管理,3,本科批次,503,502,3,
江西,历史类,历史+不限,金融学,3,本科批次,503,503,3,
江西,历史类,历史+不限,法学,3,本科批次,511,508,3,
江西,历史类,历史+不限,行政管理,3,本科批次,504,503,3,
江西,物理类,物理+不限,汉语言文学,1,本科批次,485,485,1,
江西,物理类,物理+不限,新闻学,2,本科批次,479,473,2,
江西,物理类,物理+不限,广告学,7,本科批次,482,474,2,5
江西,物理类,物理+不限,英语,5,本科批次,477,474,5,
江西,物理类,物理+不限,翻译,4,本科批次,473,472,4,
江西,物理类,物理+不限,会计学,3,本科批次,481,478,3,
江西,物理类,物理+不限,旅游管理,3,本科批次,472,472,3,
江西,物理类,物理+不限,金融学,3,本科批次,473,472,3,
江西,物理类,物理+不限,法学,3,本科批次,479,475,3,
江西,物理类,物理+化学,行政管理,3,本科批次,475,473,3,
江西,物理类,物理+化学,计算机科学与技术,7,本科批次,480,474,7,
江西,物理类,物理+化学,电子信息工程,2,本科批次,475,474,2,
江西,物理类,物理+化学,通信工程,5,本科批次,473,471,5,
江西,物理类,物理+化学,物联网工程,2,本科批次,480,475,2,
江西,物理类,物理+化学,数据科学与大数据技术,5,本科批次,477,472,5,
江西,物理类,物理+化学,能源与动力工程,3,本科批次,474,471,3,
江西,物理类,物理+化学,电气工程及其自动化,4,本科批次,479,476,4,
江西,物理类,物理+化学,机械工程,4,本科批次,474,469,4,
江西,物理类,物理+化学,生物技术,5,本科批次,475,470,5,
江西,物理类,物理+化学,环境工程,4,本科批次,472,470,4,
江西,物理类,物理+化学,眼视光学,5,本科批次,474,469,5,
