省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
山西,艺术类,不提科目要求,动画,2,艺术本科批,457,453,2,
山西,艺术类,不提科目要求,美术学,4,艺术本科批,472,448,4,
山西,艺术类,不提科目要求,视觉传达设计,2,艺术本科批,519,466,2,
山西,历史类,历史+不限,国际经济与贸易,2,普通本科批,475,474,2,
山西,历史类,历史+不限,汉语言文学,2,普通本科批,483,476,2,
山西,历史类,历史+不限,英语,2,普通本科批,470,470,2,
山西,历史类,历史+不限,广告学,2,普通本科批,472,469,2,
山西,历史类,历史+不限,行政管理,2,普通本科批,472,471,2,
山西,历史类,历史+不限,旅游管理,2,普通本科批,475,469,1,1,
山西,物理类,物理+不限,工商管理,2,普通本科批,430,428,2,
山西,物理类,物理+不限,行政管理,2,普通本科批,437,435,2,
山西,物理类,物理+不限,旅游管理,2,普通本科批,432,427,2,
山西,物理类,物理+化学,生物技术,3,普通本科批,433,431,2,1,
山西,物理类,物理+化学,机械工程,4,普通本科批,437,433,4,
山西,物理类,物理+化学,能源与动力工程,3,普通本科批,436,433,3,
山西,物理类,物理+化学,电气工程及其自动化,3,普通本科批,452,438,3,
山西,物理类,物理+化学,电子信息工程,3,普通本科批,435,434,3,
山西,物理类,物理+化学,计算机科学与技术,3,普通本科批,439,436,3,
山西,物理类,物理+化学,物联网工程,2,普通本科批,436,436,2,
山西,物理类,物理+化学,数据科学与大数据技术,4,普通本科批,445,433,4,
山西,物理类,物理+化学,眼视光学,2,普通本科批,442,440,2,
