省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
河南,艺术类,,音乐学,4,艺术本科批,492,469,4,
河南,艺术类,历史+不限,音乐教育,4,艺术本科批,481,464,4,
河南,艺术类,,播音与主持艺术,5,艺术本科批,508,498,5,
河南,历史类,历史+不限,金融学,4,普通本科批,520,519,4,
河南,历史类,历史+不限,国际经济与贸易,4,普通本科批,522,519,4,
河南,历史类,历史+不限,法学,4,普通本科批,532,522,4,
河南,历史类,历史+不限,汉语言文学,3,普通本科批,536,525,3,
河南,历史类,历史+不限,英语,3,普通本科批,522,520,3,
河南,历史类,历史+不限,新闻学,4,普通本科批,521,518,4,
河南,历史类,历史+不限,广告学,4,普通本科批,519,518,4,
河南,历史类,历史+不限,工商管理,2,普通本科批,518,517,2,
河南,历史类,历史+不限,会计学,4,普通本科批,538,523,4,
河南,历史类,历史+不限,行政管理,3,普通本科批,521,517,3,
河南,历史类,历史+不限,旅游管理,2,普通本科批,521,521,2,
河南,物理类,物理+不限,金融学,4,普通本科批,479,473,4,
河南,物理类,物理+不限,国际经济与贸易,3,普通本科批,479,477,3,
河南,物理类,物理+不限,法学,4,普通本科批,492,483,4,
河南,物理类,物理+不限,英语,3,普通本科批,483,479,3,
河南,物理类,物理+不限,商务英语,4,普通本科批,485,472,4,
河南,物理类,物理+不限,会计学,4,普通本科批,493,482,4,
河南,物理类,物理+不限,行政管理,3,普通本科批,475,472,3,
河南,物理类,物理+不限,旅游管理,2,普通本科批,483,474,1,1,
河南,物理类,物理+化学,生物技术,5,普通本科批,478,474,5,
河南,物理类,物理+化学,机械工程,5,普通本科批,488,477,5,
河南,物理类,物理+化学,能源与动力工程,4,普通本科批,489,475,4,
河南,物理类,物理+化学,电气工程及其自动化,4,普通本科批,494,481,4,
河南,物理类,物理+化学,电子信息工程,5,普通本科批,481,477,5,
河南,物理类,物理+化学,通信工程,4,普通本科批,501,477,4,
河南,物理类,物理+化学,计算机科学与技术,5,普通本科批,490,485,5,
河南,物理类,物理+化学,物联网工程,4,普通本科批,491,477,4,
河南,物理类,物理+化学,数据科学与大数据技术,5,普通本科批,489,474,5,
河南,物理类,物理+化学,环境工程,5,普通本科批,474,473,5,
河南,物理类,物理+化学,眼视光学,5,普通本科批,497,473,5,
