省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
贵州,历史类,历史+不限,汉语言文学,2,本科批次,503,502,2,
贵州,历史类,历史+不限,行政管理,4,本科批次,500,478,4,
贵州,历史类,历史+不限,金融学,3,本科批次,486,482,3,
贵州,历史类,历史+不限,法学,2,本科批次,524,518,2,
贵州,历史类,历史+不限,国际经济与贸易,3,本科批次,484,470,3,
贵州,历史类,历史+不限,工商管理,6,本科批次,483,472,6,
贵州,历史类,历史+不限,旅游管理,2,本科批次,489,468,2,
贵州,历史类,历史+不限,会计学,3,本科批次,497,495,3,
贵州,历史类,历史+不限,广告学,1,本科批次,479,479,1,
贵州,历史类,历史+不限,新闻学,2,本科批次,496,483,2,
贵州,物理类,物理+不限,汉语言文学,1,本科批次,467,467,1,
贵州,物理类,物理+不限,新闻学,1,本科批次,441,441,1,
贵州,物理类,物理+不限,广告学,1,本科批次,429,429,1,
贵州,物理类,物理+不限,会计学,2,本科批次,462,452,2,
贵州,物理类,物理+不限,旅游管理,2,本科批次,436,427,2,
贵州,物理类,物理+不限,法学,2,本科批次,477,463,2,
贵州,物理类,物理+不限,金融学,3,本科批次,431,424,3,
贵州,物理类,物理+不限,国际经济与贸易,3,本科批次,420,418,3,
贵州,物理类,物理+不限,工商管理,6,本科批次,433,419,6,
贵州,物理类,物理+不限,行政管理,4,本科批次,428,418,4,
贵州,物理类,物理+化学,眼视光学,6,本科批次,447,425,6,
贵州,物理类,物理+化学,计算机科学与技术,6,本科批次,444,426,6,
贵州,物理类,物理+化学,电子信息工程,2,本科批次,428,427,2,
贵州,物理类,物理+化学,通信工程,6,本科批次,423,411,6,
贵州,物理类,物理+化学,物联网工程,6,本科批次,421,411,6,
贵州,物理类,物理+化学,数据科学与大数据技术,8,本科批次,424,413,8,
贵州,物理类,物理+化学,机械工程,8,本科批次,423,412,8,
贵州,物理类,物理+化学,生物技术,3,本科批次,424,414,3,
贵州,物理类,物理+化学,电气工程及其自动化,3,本科批次,431,430,3,
贵州,物理类,物理+化学,能源与动力工程,6,本科批次,429,423,6,
